text,label
i ordered online weeks ago and i never received my package in the mail and i don t want to wait any more. so if i could get my money back now that would be great.,52
can i use my card anywhere?,10
do you have the best exchange rate?,32
is my card working? it s the first time i tried using it i tried to get money out of an atm but got nothing.,26
there is a payment in my app that i did not make. i have not used that card all day please reimburse my money.,28
is there a reason i need to verify top up,71
i put some money in my account the other day and it s not gone in yet can you help with this?,6
can i change my details because i moved?,30
a transaction shows duplicate times.,63
i have received my card can you help me put it in the app?,13
can i use this app to exchange between dollars and pounds?,33
the transfer keeps failing i tried to transfer some money to friends this morning but it keeps getting rejected for some reason i have no idea why,35
how do i delete an account?,55
why is my top up showing as reverted?,61
are you able to explain the restrictions of the disposable cards?,29
i am traveling what can i do to set up auto top up?,4
what are the exchange rates you assign?,32
there are a couple of payments with my card shown in the app that in reality i didn t make. maybe someone has access to my card?can you check whats the issue ?,16
i want to have an item refunded can i do that?,52
at which atms can i use this card?,3
i have a pending payment on my card. why?,45
i need assistance to activate the card on my account.,0
why has my money disappeared? i topped up earlier and seen it was there and had went through. what seems to be the problem?,61
do i get charged if i get money?,56
it s requiring me to verify my identity?,74
i need a physical card. what are the fees?,43
someone is using my account,22
how do i switch to a different currency?,33
please give me both a visa and a mastercard.,73
i deposited a cheque but my account balance stayed the same.,6
what do i need to show who i am?,69
there s a weird payment showing in my app that i definitely haven t made myself as i haven t used the card at all that day. please cancel that and return my money.,28
i would like my card activated.,0
i m not verifying my identity.,74
is there a way to see my money s source?,70
someone might be using my card. what should i do?,22
how long does it take for the money to show up in my account?,67
hello. i checked my transactions and saw i was double charged for a restaurant visit. can i get my money back?,63
what are the acceptable currencies for adding funds?,54
the app doesn t recognize me.,68
how long are deliveries to the us?,12
why can t i see my funds after i topped up?,47
i made a mistake when sending a payment sending it to the wrong account number with a typo can you please cancel the transaction?,8
can i get a physical card online,43
i am unable to activate my card it won t let me.,0
what is the age to open an account?,1
after inputting the wrong pin too many times can you now help me unblock my pin?,49
i think something went wrong with my exchange between russian ruble and uk pounds. i was overcharged during the swap.,17
i made a terrible mistake when typing in my account number. i accidently sent money to the wrong account. i noticed the app won t allow me to void the transaction. can someone help me with this immediately?,8
what flat currencies do you support for holding and exchange?,36
how long does an item i bought show as pending?,45
i was mistakenly charged a fee for using my card.,15
cancel my account,55
i only have a card from the us is that okay?,54
how can i change to my married name?,30
why are all my card payments being declined?,25
i keep trying to use my card to buy some things and you keep declining it. why? i ve tried multiple times to make it go through but it won t.,25
i live in the eu. can i order one of your cards?,24
i put money on my card and i dont see it on the balance,47
can my children get an account?,1
why was my card payment declined?,25
i made a payment that is not yet complete.,45
you provide support in what countries?,24
do i need to verify my identity every time i log into my account?,74
how is my atm deposit not available yet?,46
can currencies be exchanged on this app?,33
how do i transfer money from my bank account?,65
can i get a card that works in other countries like africa and indonesia?,24
how long dies it take for transfers to reflect on my balance,67
i made a payment with my card and it hasn t changed. how long do you think this will take?,45
still waiting on a refund.,51
how far is the closest atm from me?,3
the atm won t give my card back!,18
how do i add money to my card?,62
do i have to pay extra if i use an international card to top up my account?,57
i m not certain but someone may be using my card.,22
please delete my account your services are not up to par.,55
i d like to make a new pin selection.,21
a transfer is pending.,48
i keep being asked to verify my identity. is this normal?,74
how do i retrieve my card from the machine?,18
how do i get my card back quickly from a bank machine that it?,18
i would like to add money to my account through my american express.,54
are there any fees for adding money with an international card?,57
there s a cash withdrawal i am certain i did not make,20
are you able to unblock my pin?,49
where s the money from my transfer from europe?,67
what do i do if my phone is stolen?,42
i need to cancel a transaction on my debit card.,28
why am i charged a fee for withdrawing cash?,19
why did i only get 20 when i tried to get 100,75
how can i periodically check the delivery of the card you sent?,11
why would my beneficiary not be allowed?,7
how long does a transfer from a uk account take? i just made one and it doesn t seem to be working wondering if everything is okay,5
my payment is in the app but hasn t gone through yet,45
if i see a payment in the app that i don t recognize what should i do?,16
what is the time frame that it usually takes for a transfer to come through? i have a friend needing it immediately but it has yet to come through.,66
can the card was sen to me be tracked?,11
