text,predicted_intent,confidence,routing_decision
my transfer was declined why is that?,27,0.5995731663980458,template_handler
what are the reasons for my beneficiary not being allowed?,7,0.9796913777579436,template_handler
what is the function of the disposable cards?,29,0.7570430800633844,template_handler
i believe my card has been compromised as there are funds showing that i did not receive.,20,0.5299366698475255,rag_pipeline
how old do you need to be to have an account?,1,0.9491010582266185,template_handler
how do i actually obtain a card myself?,43,0.44971853326947114,rag_pipeline
i used my card top up but all of the money is missing.,62,0.32280364595377115,rag_pipeline
is currency exchange possible?,31,0.39465652138567414,rag_pipeline
i need your help in deleting my account.,55,0.835140584687433,template_handler
i cannot get virtual card to work,72,0.5374647558002458,rag_pipeline
how long does it typically take to make a transfer from a uk bank? i just made one and it hasn t shown up in my account yet.,5,0.6631065759110467,template_handler
how do i activate my card to start using it?,0,0.9583903361384608,template_handler
what are all the fiat currencies that are supported for both exchange and holding?,36,0.9088195397270585,template_handler
i exchange currencies a lot. can i get a discount?,31,0.5052615879037177,rag_pipeline
i had to pay a fee when buying items with my card.,15,0.8308231588572105,template_handler
how can i change my pin without going to the bank?,21,0.916653114218339,template_handler
do you accept exchanges to eur?,36,0.8042863189055142,template_handler
are all european currencies available for holding and exchange?,36,0.8641758926211834,template_handler
i got a new card how do i link it?,13,0.8660432843991895,template_handler
my payment was put back i think.,53,0.7966284504494242,template_handler
can i get a card in person?,24,0.8570911308593088,template_handler
so i am a new customer and attempted to top up for the very first time today. it s already been pending for half an hour and doesn t seem to be working. i need to please get this fixed.,47,0.9675775802664394,template_handler
how long do i have to wait for the transfer to be finalized?,67,0.44994334963669763,rag_pipeline
when will i be able to see my refund?,51,0.9445257986804814,template_handler
where are the mastercard atms?,3,0.5283357130050602,rag_pipeline
how can i top up by card?,62,0.49309835732126067,rag_pipeline
why have i received a rebate for my payment after a week?,53,0.6126506075105723,template_handler
hey i need some help figuring out way my transfer is not complete yet. my landlord hasn t got the money yet.she should have received it by now.,66,0.9003244902402027,template_handler
how much does it cost to get a new card? mine is almost expired. how fast does it come?,9,0.87891431619702,template_handler
does it cost me anything to top up my account via bank transfer?,65,0.4696825429343441,rag_pipeline
i forgot my password to get into the app!,44,0.9397121087125392,template_handler
please help me. my disposable virtual card won t work right.,72,0.8030308407231858,template_handler
hi i used an atm today to take money out of my account but the amount it gave me is not the amount i requested. what should i do?,75,0.9417827033956389,template_handler
are bank transfers immediate?,5,0.2908027181680993,llm_escalation
how do i get a pin?,38,0.6668642808259523,template_handler
why can t i transfer to another account?,7,0.7261890726405339,template_handler
what fiat currencies are used for exchange?,36,0.8601954159443119,template_handler
is there a way to see where funds come from,70,0.9863233998384051,template_handler
help me please i need to top up cash.,58,0.813922226503723,template_handler
how can i exchange currencies using your app?,33,0.6876013030705619,template_handler
what is the max amount of top ups?,60,0.9333424068382908,template_handler
from what countries can i use an account?,24,0.9117310344862416,template_handler
when i withdrew money from my account the other day i noticed that there was a fee. i didn t think that there were any fees for withdrawals...? how much will i be charged?,19,0.528057690622327,rag_pipeline
if my card payment is cancelled what should i do?,53,0.5714275831838894,template_handler
i deposited cash this morning but it s not showing up in my account. can you tell me where s my money?,6,0.8834512623515548,template_handler
is it possible to hold money in multiple currencies?,36,0.9711289509367691,template_handler
i am still waiting for a transfer i did,66,0.47444687519637113,rag_pipeline
can you help me find the virtual card?,40,0.8515150227928504,template_handler
is there an exchange fee?,31,0.8627469312609207,template_handler
i have to make more then a few disposable cards per day.,29,0.8534500933701686,template_handler
why is it taking so long for my cash withdrawal to no longer show as pending?,46,0.7674513309281507,template_handler
can you help me? i have a duplicate transaction on my account and i don t understand why.,63,0.7417070051859015,template_handler
how come my withdrawal rate is wrong for my cash withdrawal,46,0.33074040315892655,rag_pipeline
how can i top up my card with another card?,39,0.41253074275517454,rag_pipeline
how long do i wait for my pin,38,0.49024228921469276,rag_pipeline
i was contacted by a seller with a message that they never received my money. i am 100 sure it was taken from my account so i definitely need this sorted out soon.,53,0.38956100607243727,rag_pipeline
when i tried to transfer funds to my friend today i was unable to do so why?,35,0.5206143273031384,rag_pipeline
is there a reason why my card was declined when i attempted to withdraw money?,25,0.4824557395698606,rag_pipeline
i punched in the wrong pin too many times and i m locked out.,49,0.9553211460268992,template_handler
there are transactions that i don t remember making i think someone might have gotten my card details and is now using it.,22,0.8837184245675264,template_handler
i need a second card on this account for my daughter.,39,0.530503256715246,rag_pipeline
somebody has stolen my card i need help please.,41,0.8786866128026253,template_handler
i put the wrong pin too many times and now it is blocked. can you help me unblock it?,49,0.9900789452387645,template_handler
do these virtual cards have any caps on using them?,40,0.3132034232486109,rag_pipeline
how can i check the source of funds?,70,0.9788438562904771,template_handler
how do i top up with cash?,58,0.7430794746664802,template_handler
i have noticed that my account was double charged for a couple of items this week. please review and refund the double charged items back.,63,0.9429341413113682,template_handler
what form of identification is accepted?,43,0.31657213893550534,rag_pipeline
can this app take my salary?,50,0.9065132240998223,template_handler
where is the nearest mastercard atm?,3,0.8909662538500941,template_handler
how do i active this card?,0,0.5244117006113106,rag_pipeline
my account needs to be deleted.,55,0.5958081698131587,template_handler
